,snapshot_id,stress,Text,stress_level
2,9252537403715547191,1.0,From Poland with love! Happy 4th of July to all my American friends and happy 1st anniversary of moving to US for me 😍,Low
3,9252537403715547191,1.8333333333333333,Spontaneously available for activities in DC due to rain ⛈✈️⛈,Low
7,9288569235052076487,1.2857142857142858,"Just talked with doc. Surgery went well, but because of the blood thinners he is on she had a hard time clotting. He's doing ok, just tired and hungry. Thank you for your prayers and support!",Low
8,9288569235052076487,1.2857142857142858,Back at the hospital for more surgery. Anthony got a MRSA infection in his foot where his big toe was removed. Please say a prayer the doc doesn't have to remove too much of the bone. This guy needs a reprieve.,Low
9,9290546826834334269,1.0,Septicflesh... in the flesh! :D . I have waited a very long time to see this INCREDIBLE band. Words cannot describe how happy I was to see them last night. Such an amazing band and show!!! . Bonus: Autographed set list! <3,Low
11,9381952670851740549,1.8571428571428572,"Arrived in Orlando, Florida. Too bad I won’t have any time to go see the ocean. 😞. Time to get my asset management on at the IAITAM spring conference!",Low
12,9381952670851740549,1.8571428571428572,Another amazingly beautiful day in florida.,Low
13,9381952670851740549,1.8571428571428572,Whew!  Just finished presenting at a session on risk management.  It went really well!   I didn’t die and no one booed. :),Low
14,9381952670851740549,1.7142857142857142,"4 years ago today, our flight home was cancelled and we got stuck in Hawaii and extra day. It was one of our favorite days of the whole vacation. :)",Low
15,9381952670851740549,1.7142857142857142,Look at how skinny I was!  And dirty. Ugh. Moving dirt was a good workout. :),Low
16,9385868890389771155,2.0,"My hunny bunny 🍯🐰, meri jaan, my not so little sister got out ❤️❤️ another Chawla Comp Sci Yellowjacket (with highest honors 🤓) added to the working world!!! Couldn’t be prouder of her or more thankful for the support of our family for putting two girls through the best school in the nation 🐝 #gojackets #shegotout @ Georgia Institute of Technology",Low
18,9476057976865553913,1.8,"Ethan and the rest of these Olathe HS French class students are off for their 16 day 'tour de France'""!  Normandy, Paris, and a few points between.  (He''s 4th from left in the back row)""",Low
19,9480035759041961272,1.8,So happy for my best friend’s graduation today. Seattle and Boeing will be better because of him.,Low
20,9480035759041961272,2.0,They grow up so fast. 😭 Star passed her first day of school with flying colors.,Low
25,9503545953274412325,2.0,Group work with shitty team mates are the worst...These people are supposed professionals - I can't imagine them actually being in the work force,Low
33,9547248024793501451,1.5714285714285714,This is the life. #weareinhawaii #gotmauied @drewbert222,Low
34,9547248024793501451,1.5714285714285714,Jungle hiked!! #waihe’eridgetrail #weareinhawaii #wegotmauied @drewbert222,Low
35,9547248024793501451,1.5714285714285714,Chill out! #ululanishawaiianshaveice #weareinhawaii #wegotmauied @drewbert222,Low
