,snapshot_id,Text,day,stress,sleep,anxiety,stress_imputed,sleep_imputed,anxiety_imputed
1890,9251084965720942673,This guy will be missed.  Will always wish we had more time together.  24 years ago he was like a big brother to me when I needed it most.  Thanks for the good memories.,2018-10-07,2.6666666666666665,9.0,2.1666666666666665,True,True,True
1131,9252537403715547191,Family reunion,2018-06-10,1.6,7.5,1.0,False,False,False
1132,9252537403715547191,"Oh Zurich, you are so beautiful. I should visit more often...",2018-07-01,1.3333333333333333,7.0,1.4,False,False,False
1133,9252537403715547191,From Poland with love! Happy 4th of July to all my American friends and happy 1st anniversary of moving to US for me 😍,2018-07-04,1.8,7.666666666666667,1.3666666666666667,True,True,True
1134,9252537403715547191,Spontaneously available for activities in DC due to rain ⛈✈️⛈,2018-08-03,1.8,7.5,1.4,False,False,False
1135,9252537403715547191,Quite a weekend in Chicago! Thank you Alana and Bo!,2018-08-19,1.8,7.666666666666667,1.3666666666666667,True,True,True
1136,9252537403715547191,Frequent traveler,2018-11-05,1.8,7.666666666666667,1.3666666666666667,True,True,True
1137,9252537403715547191,Maine re-discovered. Turns out it’s quite ok ❤️,2018-11-12,1.8,7.666666666666667,1.3666666666666667,True,True,True
907,9267467293877449948,"4/4 Doyle girls have posted this picture. We have one month I repeat ONE MONTH until the wedding!!!!!! 💗👰🏼 @ Northville, Michigan",2018-05-24,2.6,7.666666666666667,2.1666666666666665,True,True,True
338,9288569235052076487,Please say a prayer for Anthony. Last Wednesday he was admitted to Memorial Hospital with afib. He also has fluid around his heart. This dreaded kidney disease has taken it's toll in Anthony. I pray God will make him well.,2018-04-16,2.6666666666666665,8.0,2.0,False,False,False
295,9288569235052076487,Thank you! Your prayers worked! Anthony came home today! We're so grateful for all of your support!!,2018-04-17,2.8333333333333335,8.0,2.1666666666666665,False,False,False
293,9288569235052076487,"It's been a long two weeks, but Anthony is finally HOME!  We are so grateful for our family and friends for their prayers, support, love, and friendship! 💚💚💚💚",2018-04-21,2.3333333333333335,8.0,1.8333333333333333,False,False,False
339,9288569235052076487,Back at the hospital for more surgery. Anthony got a MRSA infection in his foot where his big toe was removed. Please say a prayer the doc doesn't have to remove too much of the bone. This guy needs a reprieve.,2018-05-17,1.3333333333333333,9.0,1.1666666666666667,False,False,False
296,9288569235052076487,"Just talked with doc. Surgery went well, but because of the blood thinners he is on she had a hard time clotting. He's doing ok, just tired and hungry. Thank you for your prayers and support!",2018-05-18,1.3333333333333333,9.0,1.1666666666666667,False,False,False
1148,9288569235052076487,Please say a prayer for Anthony. He's having outpatient surgery to drain fluid from his left lung.,2018-08-07,1.2916666666666665,8.583333333333332,1.0,True,True,True
1149,9288569235052076487,We're back home now. Doc drained 1 litre of fluid from his lung.  They will run a test on the fluid just to make sure no infection. The fluid is build up from being on dialysis for 5 years. Coughing should subside soon and breathing will be better. Thanks for your prayers and support!! ð,2018-08-07,1.2916666666666665,8.583333333333332,1.0,True,True,True
340,9288569235052076487,"This poor guy has had a rough go of it lately. Admitted to the hospital to get his lung drained for the second time this week, cultures show infection in his foot and an ulcer on the other foot. He so needs some good news!",2018-08-10,1.2916666666666665,8.583333333333332,1.0,True,True,True
348,9288569235052076487,"Just saw the hospitalist and Anthony will be in the hospital for at least 2 more days. Needs an MRI and heart scan which probably won't happen until Monday. The fluid from the lung is not cancerous, praise God! But still deciding the cause. The feet and the lung are separate issues. Want a heart scan because he had the pericardial fluid drained a couple months ago. Just to make certain nothing there.",2018-08-11,1.2916666666666665,8.583333333333332,1.0,True,True,True
341,9288569235052076487,"Good news, bad news. Good news infection in the lung seems to be better and Anthony's off oxygen. Bad news he is going to have surgery tomorrow to remove more of his foot. Anthony is not sure if he's more scared or pissed off. Both for me.",2018-08-13,1.2916666666666665,8.583333333333332,1.0,True,True,True
342,9288569235052076487,"Good news, bad news. Good news infection in the lung seems to be better and Anthony's off oxygen. Bad news he is going to have surgery tomorrow to remove more of his foot. Anthony is not sure if he's more scared or pissed off. Both for me.",2018-08-13,1.2916666666666665,8.583333333333332,1.0,True,True,True
