status,valence,recency,LifeEventFamily,Anticipation,Intimacy,Scope,age,gender,shipley_vocab,shipley_abs,openness,conscientiousness,extraversion,agreeableness,neuroticism,pos_affect,neg_affect,stai_trait,psqi,education_level,anxiety
Ongoing,0,890,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,2.286
Ongoing,1,886,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,0,886,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,0,881,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,0,880,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.3330000000000002
Ongoing,0,880,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.3330000000000002
Ongoing,1,875,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.3330000000000002
Ongoing,0,875,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.3330000000000002
Ongoing,0,889,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,2.286
Ongoing,1,887,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,1,886,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,0,881,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,1,881,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,0,880,Personal,Anticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.3330000000000002
Ongoing,0,885,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,1,877,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.3330000000000002
Ongoing,1,871,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.143
Ongoing,1,876,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.3330000000000002
Ongoing,0,897,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.714
Ongoing,0,881,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
ended,1,858,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.857
ended,1,858,Personal,Anticipated,1,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.857
Ongoing,1,884,Personal,Unanticipated,2,2,36.0,Female,27.0,9.0,3.5,4.416666667,3.083333333,3.833333333,3.416666667,36.0,13.0,34.0,9.0,College Degree,1.2
Ongoing,1,756,Personal,Anticipated,2,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,1.75
ended,0,796,Personal,Anticipated,2,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,1.571
Ongoing,0,757,Health,Anticipated,2,3,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,1.75
Ongoing,1,790,Personal,Anticipated,1,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,1.571
Ongoing,0,769,Personal,Anticipated,1,2,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,1.714
Ongoing,1,775,Personal,Anticipated,1,3,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,1.714
Ongoing,0,775,Work,Unanticipated,2,3,39.0,Female,32.0,15.0,4.75,4.666666667,3.666666667,4.416666667,2.333333333,38.0,15.0,39.0,7.0,College Degree,1.714
Ongoing,0,770,Personal,Anticipated,2,2,54.0,Female,34.0,15.0,4.583333333,4.75,4.416666667,4.833333333,1.333333333,40.0,12.0,23.0,4.0,College Degree,1.286
Ongoing,1,802,Personal,Unanticipated,2,2,54.0,Female,34.0,15.0,4.583333333,4.75,4.416666667,4.833333333,1.333333333,40.0,12.0,23.0,4.0,College Degree,1.0
Ongoing,0,762,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.429
Ongoing,1,784,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.25
Ongoing,1,760,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
Ongoing,1,754,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.143
Ongoing,0,710,Personal,Anticipated,2,2,48.0,Male,36.0,20.0,4.16666666666667,4.91666666666667,4.33333333333333,4.33333333333333,2.4166666666666696,36.0,13.0,31.0,2.0,Graduate Degree,1.0
