valence,status,recency,LifeEventFamily,Anticipation,Intimacy,Scope,age,gender,shipley_vocab,shipley_abs,openness,conscientiousness,extraversion,agreeableness,neuroticism,pos_affect,neg_affect,stai_trait,psqi,education_level,anxiety,data_type
1,Ended,756,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,1.6,Survey
1,Ended,756,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,2.25,Survey
1,Ended,722,Work,Unanticipated,3,3,30.0,Female,36.0,18.0,3.166666667,3.166666667,3.0,3.416666667,3.333333333,23.0,22.0,57.0,8.0,Graduate Degree,2.667,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.0,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.0,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.167,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.286,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.714,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.25,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.286,Survey
-1,Ended,500,Personal,Anticipated,3,2,37.0,Female,35.0,15.0,2.833333333,3.333333333,2.083333333,4.833333333,3.083333333,34.0,21.0,49.0,10.0,College Degree,2.6,Survey
