valence,status,recency,significance_label,LifeEventFamily,Anticipation,Intimacy,Scope,age,gender,shipley_vocab,shipley_abs,openness,conscientiousness,extraversion,agreeableness,neuroticism,pos_affect,neg_affect,stai_trait,psqi,education_level,sleep
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,10.0
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,8.0
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.0
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
1,Ended,756,4,Personal,Anticipated,2,2,36.0,Male,26.0,16.0,2.75,3.75,2.083333333,3.166666667,2.416666667,31.0,20.0,48.0,7.0,Graduate Degree,6.766666666666667
