SR_LifeEvent,LifeEventFinal,LifeEventFamily,LifeEventFamily2,Anticipation,Intimacy,Scope
"Became pregnant, birth of a first or later child; adopted a child",AdoptedChild,Personal,HavingChildren,Anticipated,2,2
Was working on an adoption,AdoptedChild,Personal,HavingChildren,Anticipated,2,2
Conflict with parents,ArgumentInFamily,Personal,Family,Unanticipated,3,2
Assaulted,Assaulted,Personal,CrimeAndLegal,Unanticipated,3,3
assaulted,Assaulted,Personal,CrimeAndLegal,Unanticipated,3,3
Accepted to Business School,BackToSchool,School,School,Anticipated,1,2
College Class/Exam,BackToSchool,School,School,Anticipated,1,2
Graduate level class,BackToSchool,School,School,Anticipated,1,2
Graduate-level PhD class,BackToSchool,School,School,Anticipated,1,2
kids back in school,BackToSchool,School,School,Anticipated,1,2
night classes,BackToSchool,School,School,Anticipated,1,2
Started Grad School,BackToSchool,School,School,Anticipated,1,2
Started taking acting classes,BackToSchool,School,School,Anticipated,1,2
Took a certification exam to further my nursing education,BackToSchool,School,School,Anticipated,1,2
Wife started grad school,BackToSchool,School,School,Anticipated,1,2
Daughter left for college,BackToSchool,School,School,Anticipated,1,2
Oldest child moved out for college,BackToSchool,School,School,Anticipated,1,2
partner started as full time student,BackToSchool,School,School,Anticipated,1,2
Began work socializing program,BackToWork,Work,Work,Anticipated,2,3
first day at new job,BackToWork,Work,Work,Anticipated,2,3
"maternity leave, return to work",BackToWork,Work,Work,Anticipated,2,3
New job - freelance,BackToWork,Work,Work,Anticipated,2,3
Returned to work after a long time,BackToWork,Work,Work,Anticipated,2,3
2019 Polar Vortex,BadWeather,Local,Local,Unanticipated,1,1
AC broke - excessive heat,BadWeather,Local,Local,Unanticipated,1,1
Below 0 temps-polar vortex,BadWeather,Local,Local,Unanticipated,1,1
bitter cold - pipes in house froze,BadWeather,Local,Local,Unanticipated,1,1
Bizzard,BadWeather,Local,Local,Unanticipated,1,1
Blizard - had to work from home for a week.,BadWeather,Local,Local,Unanticipated,1,1
