EventID,snapshot_id,description,permanent_or_temporary,ended_or_ongoing,end_date,date_confidence,significance,valence,life_event_type,work_perf_impact,DupeStatus,ExcludeCode,UpdatedBeginDate,UpdatedBeginDateCode,UpdatedEndDate,UpdatedEndDateCode,alias,cohort,sentiment
1,12516215411311181588,Took a vacation,Temporary,Ended,07/07/2018,Highest confidence,Moderate significance,Very Positive,personal,Small positive effect,0.0,0,2018-07-07,2,2018-07-28,2,198893166f8ce36e20d8796fb6a61cd4,D,1
3,12131199544704830706,Vacation,Temporary,Ended,05/28/2018,Highest confidence,Moderate significance,Extremely Positive,personal,Small positive effect,0.0,0,2018-05-12,0,2018-05-28,0,fa3f9bc3a8a9957e815a22c62eda1aeb,D,1
4,10218374518126117174,car crash,Temporary,Ended,12/15/2018,High confidence,Moderately low significance,Somewhat Negative,personal,No effect,0.0,0,2018-11-15,0,2018-12-15,0,b5ca1b466bcfb6af09e37cecc301cab5,D,-1
5,12680617526080257161,I moved to tampa florida in APril 2019,Temporary,Ended,10/18/2018,Highest confidence,High significance,Extremely Positive,personal,Large positive effect,0.0,0,2018-10-18,2,2019-04-10,7,3a78f1e66fd3104c89b3f56b089b4b1b,D,1
6,13467047711801587306,Vacation,Temporary,Ended,12/01/2018,Highest confidence,Moderately low significance,Somewhat Positive,personal,Medium positive effect,0.0,0,2018-11-01,0,2018-12-01,0,0c106a1bfc1318bf2b9dc58752d95170,D,1
8,13804268872491564932,,Temporary,Ongoing,,Moderately high  confidence,High significance,Somewhat Negative,personal,Small negative effect,0.0,0,2019-02-02,0,,0,4fa475d81bad66dc79f5fc4d7ee988ec,D,-1
12,12289126884564506200,Forced to sell grandparents home at auction,Permanent,,,Highest confidence,High significance,Extremely Negative,personal,Medium negative effect,0.0,0,2018-07-26,0,,0,170d659ad563a3c1158eca732fc5332b,D,-1
13,12767666928785227083,vacation,Temporary,Ended,02/25/2019,High confidence,Low significance,Extremely Positive,personal,No effect,0.0,0,2019-02-20,0,2019-02-25,0,f6f1ce4a183be60bda60b95908e473a4,D,1
14,13552397851020627563,grandpa died,Permanent,,,High confidence,High significance,Very Negative,personal,Medium negative effect,0.0,0,2019-03-06,0,,0,3c50ae714365f7f9b4c3157084e8ee43,D,-1
15,12467964984604437442,moved,Permanent,,,Highest confidence,Moderately high significance,Extremely Positive,personal,Medium positive effect,0.0,0,2019-03-02,0,,0,c70f40226ca3de0f995f3edebceecb09,D,1
16,10573207566091983793,Miscarriage,Unsure,,,High confidence,Highest significance,Extremely Negative,personal,Small negative effect,0.0,0,2019-03-14,0,,0,7e42c640212f021a731ea08d7b13c476,D,-1
21,10124751438547209292,Vacation,Temporary,Ended,06/18/2018,High confidence,Moderately low significance,Extremely Positive,personal,Small negative effect,0.0,0,2018-06-14,0,2018-06-18,0,d28ee0903684fb62269166651ed81685,D,1
22,11128806432058221816,Engaged,Permanent,,,High confidence,Highest significance,Extremely Positive,personal,Small positive effect,0.0,0,2018-10-13,0,,0,d74aa19147e4f3064c26c932c802f7c9,D,1
24,11490896097141714538,birth of child,Permanent,,,Highest confidence,Highest significance,Somewhat Positive,personal,Large negative effect,0.0,0,2018-08-15,0,,0,a8f1eabd484c649bf1d72f962b36edc8,D,1
25,13452197562571559856,Separation,Permanent,,,Moderate confidence,High significance,Very Negative,personal,Small positive effect,0.0,0,2018-02-07,0,,0,716073ada62e7a4c0b78ae6a22792224,D,-1
28,12611805032553625196,Moved Residence,Permanent,,,High confidence,High significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-05-15,0,,0,32092b87bbfa46eb13c4a5577b8e2aac,D,1
29,11329586216091316598,Divorce,Permanent,,,Highest confidence,Highest significance,Neither Positive or Negative,personal,Small negative effect,2.0,0,2018-08-20,0,,0,986ee9c11c9674bd69a576379e99eab3,D,0
31,13543345352841573348,Moved,Permanent,,,High confidence,Moderately high significance,Very Positive,personal,Small negative effect,0.0,0,2019-03-08,0,,0,a083f56d044f682b20f01b28c74e7fb1,D,1
33,9767004035974874902,Change of Jobs,Permanent,,,Highest confidence,High significance,Very Positive,personal,Large positive effect,0.0,0,2018-03-01,0,,0,85c2ae81140b7faa6fe0b6f9a0537682,D,1
34,12257664139013720882,personal relationship deteriorated,Unsure,,,Highest confidence,High significance,Very Negative,personal,Medium negative effect,0.0,0,2018-07-09,0,,0,889364fd3ab6e7a3338a6129abd9af9d,D,-1
36,12473598560100569113,Vacation,Temporary,Ended,07/02/2018,Highest confidence,Moderately high significance,Extremely Positive,personal,No effect,0.0,0,2018-06-09,0,2018-07-02,0,115bb67fc5993ecf1015c212f585a0b5,D,1
37,13543308681200334026,Vacation,Temporary,Ended,10/31/2018,High confidence,Moderately high significance,Extremely Positive,personal,No effect,0.0,0,2018-10-26,0,2018-10-31,0,2c46501e97201c08a2d524f422c57fa7,D,1
38,12330157574709758878,Got engaged,Permanent,,,Highest confidence,Highest significance,Extremely Positive,personal,Small positive effect,0.0,0,2018-08-11,0,,0,3d605e1f71bb9c79814f0c3698bd728a,D,1
39,13550812265239242992,vacation,Temporary,Ended,07/05/2018,High confidence,Low significance,Somewhat Positive,personal,Small positive effect,0.0,0,2018-07-01,0,2018-07-05,0,cdb837de41105c0ac26445ef194845e1,D,1
40,12091678345507769045,moved home,Temporary,Ended,11/20/2018,High confidence,Moderately high significance,Somewhat Negative,personal,Medium negative effect,0.0,0,2018-11-20,0,2018-11-20,0,da081cf41b59194d37277aafd7a2bbdb,D,-1
41,11153506770947659927,birth of a child,Permanent,,,High confidence,Highest significance,Extremely Positive,personal,Small negative effect,0.0,0,2018-12-01,0,,0,163e2d0bcf2b4465239414c099e31d39,D,1
42,11142719043022694219,Foot Surgery,Temporary,Ended,01/07/2019,Highest confidence,Highest significance,Neither Positive or Negative,personal,Large positive effect,0.0,0,2018-12-04,0,2019-01-07,0,f2492b120060d707afb0732b469ac23c,D,0
44,11883799380520293429,Changed churchs,Unsure,,,Moderately high  confidence,Moderately high significance,Somewhat Negative,personal,No effect,0.0,0,2019-02-01,0,,0,66bf6420b58454299c755bc4b9dab7dc,D,-1
46,9385868890389771155,partner got an STD and we broke up,Unsure,,,Highest confidence,High significance,Extremely Negative,personal,Small negative effect,0.0,0,2019-01-17,0,,0,87091ced8e39d43218fe76f5139da8af,D,-1
48,11899535078684268597,Car accident,Temporary,Ended,03/16/2019,Highest confidence,Moderately low significance,Somewhat Negative,personal,No effect,0.0,0,2019-03-16,0,2019-03-16,0,34850f2bee08c5fc33053f8ebbc6f005,D,-1
49,12219328703686349043,bought a house,Permanent,,,Moderately high  confidence,Moderately high significance,Somewhat Positive,personal,No effect,0.0,0,2018-07-20,0,,0,d157a1143a97d8dbff5c62cf42a1d91f,D,1
