Categories from Survey,Final Category,
2019 Polar Vortex,BadWeather,
40 mile bike ride,SportsEvent,
AC broke - excessive heat,BadWeather,
Accepted to Business School,BackToSchool,
Acquired a pet,NewPet,
Acting showcase,WorkSuccess,
adopted a cat,NewPet,
Adopted two kittens,NewPet,
Adoption Loan (Mortgage),InstallmentPurchase,
Annual evaluation,PerformanceReview,
Annual exam,PerformanceReview,
Annual performance review,PerformanceReview,
Annual Review,PerformanceReview,
annual review,PerformanceReview,
Anxiety,HealthLoss,
Assaulted,Assaulted,
assaulted,Assaulted,
Attended a friend's wedding,Trip,
Attended car race at Watkins Glen,SportsEvent,
Attended car race in Atlanta,SportsEvent,
Attended car race in Dayton Floriday,SportsEvent,
Attended car race in Sebring Florida,SportsEvent,
Attended car race in Virginia,SportsEvent,
Attended my roommate's wedding,Trip,
attended Purdue basketball with family,Trip,
Attending industrial advisory council meeting for EECS department at University of Missouri,Trip,
Baby room preparations,RemodeledHome,
Back injury,HealthLoss,
Back pain,HealthLoss,
Back problems and surgery,Surgery,
Back Surgery,Vacation,
Back to Tampa NEW Years Eve vacation,Vacation,
Background work,HeavyWork,
Beach Vacation,Vacation,
Became a licensed IHSAA Basketball Official,WorkSuccess,
became engaged,Married,
Became pregnant,Pregnant,
Became pregnant with 3rd child,Pregnant,
"Became pregnant, birth of a first or later child; adopted a child",Pregnant,
"Became pregnant, birth of a first or later child; adopted a child",ChildBirth,
"Became pregnant, birth of a first or later child; adopted a child",AdoptedChild,
Became school Principal,PositiveJobSwitch,
Becoming the legal guardian of my niece,StartedRelationship,
Began dating,StartedRelationship,
"Began dating new (and current boyfriend) on Sept 2, 2018 and stress started reducing early October 2018",StartedRelationship,
Began to have doubts about management,BadWorkLife,
Began work socializing program,BackToWork,
Below 0 temps-polar vortex,BadWeather,
Bereavement leave,DeathInFamily,
Best friend took me on vacation to CABO,Vacation,
Big Success,WorkSuccess,
birth of a child,ChildBirth,
Birth of a child,ChildBirth,
birth of child,ChildBirth,
Birth of child,ChildBirth,
Birth Of Child,ChildBirth,
Birth of Child,ChildBirth,
Birth of Chile,ChildBirth,
Birth of first child,ChildBirth,
birth of grandchild,ChildBirth,
Birth of Granddaughter,ChildBirth,
Birth of my daughter,ChildBirth,
birth of niece,ChildBirth,
Birth of Son,ChildBirth,
bitter cold - pipes in house froze,BadWeather,
