,0,word
house,286,house
home,143,home
dealership,143,dealership
let know,1,let know
fix,143,fix
got,572,got
ended,143,ended
years,143,years
didn,1,didn
better,1,better
going,572,going
know,143,know
time,429,time
look,143,look
month,143,month
wanted,1,wanted
We,1001,We
wedding,143,wedding
new,1,new
And,143,And
days,1,days
pop,143,pop
repair,1,repair
They pay,1,They pay
We bought,1,We bought
LOL,1,LOL
pay,429,pay
stop,143,stop
want,1,want
start,143,start
damage,1,damage
money,1,money
said,143,said
getting,1,getting
ask,143,ask
car,858,car
just,286,just
things,1,things
let,1,let
room,143,room
So,143,So
Its,286,Its
We bought house,1,We bought house
wait,1,wait
bought,286,bought
way,1,way
They,1,They
paypal,1,paypal
This,429,This
saw,1,saw
