,0,word
Rooftop,1,Rooftop
wide angle,1,wide angle
season wide,1,season wide
weather,1001,weather
Rooftop season wide,1,Rooftop season wide
weather birds,1001,weather birds
angle,1,angle
This 90 degree,1001,This 90 degree
angle lens,1,angle lens
This 90,1001,This 90
degree weather birds,1001,degree weather birds
SummertimeChi,1,SummertimeChi
season wide angle,1,season wide angle
degree,1001,degree
season,1,season
Rooftop season,1,Rooftop season
degree weather,1001,degree weather
angle lens SummertimeChi,1,angle lens SummertimeChi
wide,1,wide
birds,1001,birds
90 degree weather,1001,90 degree weather
lens,1,lens
wide angle lens,1,wide angle lens
90,1001,90
lens SummertimeChi,1,lens SummertimeChi
This,1001,This
90 degree,1001,90 degree
