,0,word
house,39,house
The,451,The
best,23,best
today,588,today
weekend,291,weekend
It,375,It
Happy,46,Happy
people,107,people
years,382,years
come,1,come
amazing,191,amazing
home,504,home
going,176,going
know,168,know
time,947,time
year,153,year
got,359,got
love,558,love
We,939,We
good,153,good
morning,8,morning
wedding,146,wedding
days,16,days
trip,245,trip
And,130,And
beautiful,214,beautiful
fun,298,fun
day,1001,day
like,222,like
Thank,23,Thank
You,84,You
My,222,My
work,8,work
So,153,So
getting,8,getting
life,146,life
week,123,week
Im,107,Im
just,397,just
new,222,new
great,420,great
family,512,family
Day,31,Day
night,184,night
She,23,She
friends,222,friends
need,8,need
little,54,little
way,146,way
This,260,This
