,0,word
Senior,1,Senior
6th,87,6th
home,1,home
today,44,today
grade,479,grade
High,87,High
First,131,First
So proud,1,So proud
proud,131,proud
teacher,44,teacher
Wes,1,Wes
better,87,better
graduation,131,graduation
graduated,1,graduated
time,1,time
year,348,year
8th,1,8th
got,44,got
It,87,It
We,218,We
loving,1,loving
going,174,going
preschool,131,preschool
James,1,James
Day,44,Day
day school,261,day school
day,1001,day
First day,87,First day
like,1,like
girl,1,girl
Jackson,1,Jackson
adventure,44,adventure
School,392,School
My,44,My
class,87,class
8th grade,1,8th grade
family,1,family
start,1,start
school,827,school
moved,44,moved
just,1,just
new,1,new
great,44,great
6th grade,1,6th grade
So,131,So
Its,1,Its
She,1,She
boys,1,boys
High School,87,High School
This,131,This
