id	crawl_id	snapshot_id_x	date_enrolled	post_id	created_time	Text	life_event_category_1	continuous_events_1	Additional life event note_ 1	life_event_category_2	continuous_events_2	Additional life event note_2	life_event_category_3	final_life_event	sentiment_x	SM_LifeEvent	LifeEventFamily_x	Anticipation_x	Intimacy_x	Scope_x	Comments	sigScore_x	matchId	matchVal_x	sm_sr_x	date_x	recency_x	LifeEventCat_x	Anticipation_y	DupeStatus	EventID	ExcludeCode	Intimacy_y	LifeEventFamily_y	LifeEventFinal	SR_LifeEvent	Scope_y	UpdatedBeginDate	UpdatedBeginDateCode	UpdatedEndDate	UpdatedEndDateCode	alias	cohort	date_confidence	description	end_date	ended_or_ongoing	life_event_type	matchVal_y	permanent_or_temporary	sentiment_y	sigScore_y	significance	snapshot_id_y	valence	work_perf_impact	sm_sr_y	date_y	recency_y	LifeEventCat_y
512800	4341	11573572853441409020	2018-02-28 0:00:00	10215388091045134_10216821776286369	2018-08-17 14:56:34	2018-2019 school year. Isaac 8th grade and last year at Prince of Peace. Rachel Junior year at St James Academy.	FinishedSchool		Multiple tags - FinishedSchool & ChangedSchool	FinishedSchool				FinishedSchool	0	FinishedSchool	School	Anticipated	1.0	2.0		0.03577183370931357	1	1.0	1	2018-08-17 14:56:34	735.3773842592593	FinishedSchool	Unanticipated	0.0	1094	0	2	Health	HealthLoss	Threw out back and couldn't walk	3	2018-08-24	0	2018-08-27	0	2e32288a4fd0a4151648167503fc2ccc	G	High confidence	Threw out back and couldn't walk	08/27/2018	Ended	health	0.0	Temporary	-1	2	High significance	11573572853441409020	Very Negative	Large negative effect	0	2018-08-24	729.0	HealthLoss
512805	4341	11573572853441409020	2018-02-28 0:00:00	10215388091045134_10216458553086016	2018-07-03 17:50:20	Update on Drew ....  Happy Day!!! One day shy of 2 weeks. . We are headed home and got a bonus visit from Finnley on Drew''s release day. Thank you to everyone for the prayers. We couldn''t have done it without all of you!! God is good all the time				HealthGain	HealthTreatment	family member health gain		HealthGain	1	HealthGain	Health	Anticipated	2.0	3.0		0.07960038672252659	3	1.0	1	2018-07-03 17:50:20	780.256712962963	HealthGain	Unanticipated	0.0	1179	0	2	Health	HealthLoss	Toothache	3	2018-07-12	0		0	2e32288a4fd0a4151648167503fc2ccc	G	High confidence	Toothache		Ongoing	health	0.0	Temporary	-1	1	Moderately high significance	11573572853441409020	Somewhat Negative	Small negative effect	0	2018-07-12	772.0	HealthLoss
512820	4341	11573572853441409020	2018-02-28 0:00:00	10215388091045134_10215563262584313	2018-03-17 03:25:39	A big thanks to all of the bday wishes today. It was a great day and Morgan made it home for spring break. #happyfamily				MoreLessFamilyMeetups				MoreLessFamilyMeetups	1	MoreLessFamilyMeetups	Personal	Anticipated	1.0	2.0		0.03802771511440541	4	1.0	1	2018-03-17 03:25:39	888.8571875	MoreLessFamilyMeetups	Unanticipated	0.0	1729	0	3	Financial	MiscFinancialChange	financial	3	2018-03-12	0	2018-03-12	0	2e32288a4fd0a4151648167503fc2ccc	G	Moderately high confidence	financial	03/12/2018	Ended	financial	1.0	Temporary	-1	1	Moderately high significance	11573572853441409020	Somewhat Negative	No effect	0	2018-03-12	894.0	MiscFinancialChange
798022	5232	13145333240889291264	2018-05-16 0:00:00	1884457011578056_1964783043545452	2018-06-12 02:33:33	This has been an awesome first project to help bring to market on the Garmin Marine Team. If you fish you need to check out LiveScope, it's a game changer!				WorkSuccess				WorkSuccess	1	WorkSuccess	Work	Unanticipated	2.0	3.0		0.04962939091202063	5	1.0	1	2018-06-12 02:33:33	801.8933680555556	WorkSuccess	Anticipated	0.0	918	0	2	Personal	Trip	Travel to brother graduation	2	2018-05-21	2	2018-06-19	2	a5b65fee04d0764b4fb2e90515db66d3	G	Highest confidence	Travel to brother graduation	05/21/2018	Ended	personal	1.0	Temporary	1	-2	Low significance	13145333240889291264	Somewhat Positive	No effect	0	2018-05-21	824.0	Trip
481330	4234	9822004344698628623	2018-02-28 0:00:00	10215847184235970_10216771561544825	2018-06-17 20:28:49	Meade family reunion time. 🍺				MoreLessFamilyMeetups				MoreLessFamilyMeetups	0	MoreLessFamilyMeetups	Personal	Anticipated	1.0	2.0		0.008701256848211408	7	1.0	1	2018-06-17 20:28:49	796.1466550925926	MoreLessFamilyMeetups	Unanticipated	1.0	579	0	2	Personal	PetDied	Pet Died	2	2018-06-18	0		0	71bcb842ed9636672a8fdcaa3085f110	G	High confidence	Pet Died			personal	0.0	Permanent	-1	2	High significance	9822004344698628623	Very Negative	Small negative effect	0	2018-06-18	796.0	PetDied
565266	4502	13637401405284044305	2018-04-23 0:00:00	10213919069945813_10214788568362730	2018-08-23 16:06:20	He’s all moved in. Have a great year at Temple Jackson Anton!				PersonMovedOut		Poster's son- moved into college (so they moved out of poster's home)		PersonMovedOut	1	PersonMovedOut	Personal	Anticipated	2.0	2.0		0.019336126329358685	8	1.0	1	2018-08-23 16:06:20	729.3289351851852	PersonMovedOut	Anticipated	0.0	633	0	2	Personal	PersonMovedOut	Change in household: person moved in or out	2	2018-08-25	0	2019-04-10	4	eb6eaf88d99b8769c34df37d6a627002	U	Highest confidence	Change in household: person moved in or out	05/10/2019	Ended	personal	0.0	Temporary	-1	1	Moderately high significance	13637401405284044305	Somewhat Negative	Small negative effect	0	2018-08-25	728.0	PersonMovedOut
565281	4502	13637401405284044305	2018-04-23 0:00:00	10213919069945813_10214672884670710	2018-08-07 11:03:22	Last week we entered the pet world! Meet our new kittens, Fred and George.	NewPet			NewPet				NewPet	0	NewPet	Personal	Anticipated	2.0	2.0	"Usually a family adopting pet, calling it ""part of our family"" "	0.0235256203673864	9	1.0	1	2018-08-07 11:03:22	745.5393287037037	NewPet	Anticipated	0.0	944	0	2	Personal	NewPet	Acquired a pet	2	2018-08-01	0		0	eb6eaf88d99b8769c34df37d6a627002	U	High confidence	Acquired a pet			personal	0.0	Permanent	1	0	Moderate significance	13637401405284044305	Very Positive	No effect	0	2018-08-01	752.0	NewPet
565288	4502	13637401405284044305	2018-04-23 0:00:00	10213919069945813_10214546041019698	2018-07-20 15:48:45	My first attempt at painting furniture. I’m really pleased with how they turned out. I wish I would have taken before pictures, that dresser was so ugly!				RemodeledHome	RemodelEvents			RemodeledHome	1	RemodeledHome	Personal	Anticipated	2.0	2.0		0.04898485336770867	11	1.0	1	2018-07-20 15:48:45	763.3411458333334	RemodeledHome	Anticipated	0.0	829	0	2	Personal	NeutralMove	Moved residence or neighborhood	2	2018-07-14	0		0	eb6eaf88d99b8769c34df37d6a627002	U	Highest confidence	Moved residence or neighborhood			personal	0.0	Permanent	1	2	High significance	13637401405284044305	Very Positive	No effect	0	2018-07-14	770.0	NeutralMove
565305	4502	13637401405284044305	2018-04-23 0:00:00	10213919069945813_10214203596338795	2018-06-03 12:38:46	Went to my first hootenanny last night! Raising River Band was fantastic!				IncreasedSocialActivity		Was their first time- but more of a social event than a hobby		IncreasedSocialActivity	1	IncreasedSocialActivity	Personal	Anticipated	1.0	2.0		0.02320335159523042	15	1.0	1	2018-06-03 12:38:46	810.4730787037037	IncreasedSocialActivity	Anticipated	0.0	1004	0	2	Personal	Vacation	Took a vacation	2	2018-06-12	0	2018-06-30	0	eb6eaf88d99b8769c34df37d6a627002	U	Moderately high  confidence	Took a vacation	06/30/2018	Ended	personal	0.0	Temporary	1	-1	Moderately low significance	13637401405284044305	Very Positive	Small negative effect	0	2018-06-12	802.0	Vacation
776161	5154	12486416167298227740	2018-02-21 0:00:00	10214229153818271_10215430778098127	2018-07-24 02:43:53	Went to the Oshkosh air show today! (We were tired after walking around all day and didn't feel like smiling.)				IncreasedSocialActivity				IncreasedSocialActivity	0	IncreasedSocialActivity	Personal	Anticipated	1.0	2.0		0.03512729616500161	16	1.0	1	2018-07-24 02:43:53	759.8861921296296	IncreasedSocialActivity	Anticipated	0.0	903	0	2	Personal	Trip	Traveled to Osh Kosh, WI, for work	2	2018-07-23	0	2018-07-23	0	db30cf4c353996b490e891dcbe7549de	G	Highest confidence	Traveled to Osh Kosh, WI, for work	07/23/2018	Ended	personal	0.0	Temporary	1	-1	Moderately low significance	12486416167298227740	Very Positive	Small negative effect	0	2018-07-23	761.0	Trip
