EventID	snapshot_id	description	permanent_or_temporary	ended_or_ongoing	end_date	date_confidence	significance	valence	life_event_type	work_perf_impact	DupeStatus	ExcludeCode	UpdatedBeginDate	UpdatedBeginDateCode	UpdatedEndDate	UpdatedEndDateCode	alias	cohort	sentiment	SR_LifeEvent	FinalLifeEvent	FinalLifeEventFamily
33	9767004035974874902	Change of Jobs	Permanent			Highest confidence	High significance	Very Positive	personal	Large positive effect	0.0	0	2018-03-01	0		0	85c2ae81140b7faa6fe0b6f9a0537682	D	1			
34	12257664139013720882	personal relationship deteriorated	Unsure			Highest confidence	High significance	Very Negative	personal	Medium negative effect	0.0	0	2018-07-09	0		0	889364fd3ab6e7a3338a6129abd9af9d	D	-1			
105	10903913578368349197	Moved States	Permanent			Highest confidence	High significance	Very Positive	personal	No effect	0.0	0	2018-06-30	0		0	913c0f1bb58c3e1c1bdc7712083f6b9e	D	1			
124	12473598560100569113	Closed on House	Permanent			Highest confidence	Highest significance	Very Positive	personal	No effect	0.0	0	2018-06-12	0		0	115bb67fc5993ecf1015c212f585a0b5	D	1			
163	12473598560100569113	Moved to Nashville	Permanent			Highest confidence	Highest significance	Very Positive	personal	Small positive effect	0.0	0	2018-07-06	0		0	115bb67fc5993ecf1015c212f585a0b5	D	1			
177	10903913578368349197	New Friends	Permanent			Highest confidence	High significance	Very Positive	personal	No effect	0.0	0	2018-07-01	0		0	913c0f1bb58c3e1c1bdc7712083f6b9e	D	1			
182	10943522868092177046	Moved residents	Permanent			Highest confidence	Highest significance	Somewhat Positive	personal	Medium negative effect	0.0	0	2018-07-29	0		0	541755b4ef684bbf17bb4bb065a36c32	D	1			
183	12473598560100569113	Final Move to Nashville	Permanent			Highest confidence	Highest significance	Extremely Positive	personal	Medium positive effect	0.0	0	2019-03-08	0		0	115bb67fc5993ecf1015c212f585a0b5	D	1			
208	12106516970366992370	Knew surgery	Temporary	Ended	05/07/2019	High confidence	High significance	Very Negative	health	Small positive effect	0.0	0	2019-02-07	0	2019-04-10	4	aaaa1da55ad64353854e2a2f586e7474	D	-1			
209	12257664139013720882	biopsy	Temporary	Ended	01/18/2019	Highest confidence	Highest significance	Extremely Negative	health	Small negative effect	0.0	0	2019-01-10	0	2019-01-18	0	889364fd3ab6e7a3338a6129abd9af9d	D	-1			
251	10943522868092177046	Changed teams/offices	Permanent			Highest condidence	Highest significance	Somewhat Negative	work	Small negative effect	0.0	0	2018-08-01	0		0	541755b4ef684bbf17bb4bb065a36c32	D	-1			
252	13543345352841573348	Started a new project	Temporary	Ended	06/01/2019	Moderate confidence	Moderately low significance	Somewhat Negative	work	Small negative effect	0.0	0	2019-04-01	0	2019-04-10	4	a083f56d044f682b20f01b28c74e7fb1	D	-1			
255	12257664139013720882	job/performance uncertainty	Temporary	Ongoing		Moderately high confidence	Moderately high significance	Somewhat Negative	work	No effect	0.0	0	2018-09-03	0		0	889364fd3ab6e7a3338a6129abd9af9d	D	-1			
258	13543308681200334026	Compensation change	Permanent			High confidence	High significance	Somewhat Negative	work	Small negative effect	0.0	0	2018-09-01	0		0	2c46501e97201c08a2d524f422c57fa7	D	-1			
304	9462393568124888955	Job location changed	Permanent			Moderately high confidence	Highest significance	Neither Positive or Negative	work	Small positive effect	0.0	0	2018-09-18	0		0	74a11f5a8898eb835edc57f4a3493196	D	0			
305	9469301659967165028	Hired new team	Temporary	Ended	11/15/2018	Moderately high confidence	Highest significance	Somewhat Positive	work	Small negative effect	2.0	0	2018-05-01	0	2018-11-15	0	ec759b87272d11068ff9f3690ccb3e8f	D	1			
337	12473598560100569113	Busy Season 2018	Temporary	Ended	02/28/2019	Highest condidence	Moderately high significance	Somewhat Positive	work	Medium positive effect	0.0	0	2019-01-02	0	2019-02-28	0	115bb67fc5993ecf1015c212f585a0b5	D	1			
355	10903913578368349197	New Team at Work	Temporary	Ended	02/08/2019	Highest condidence	Moderately high significance	Somewhat Negative	work	No effect	0.0	0	2018-09-25	5	2019-02-08	0	913c0f1bb58c3e1c1bdc7712083f6b9e	D	-1			
362	12473598560100569113	Started Working in Nashville	Permanent			Highest condidence	High significance	Somewhat Positive	work	No effect	0.0	0	2019-04-08	0		0	115bb67fc5993ecf1015c212f585a0b5	D	1			
371	10903913578368349197	New Work Team	Temporary	Ongoing		Highest condidence	High significance	Very Positive	work	Small positive effect	0.0	0	2019-02-11	0		0	913c0f1bb58c3e1c1bdc7712083f6b9e	D	1			
387	10943522868092177046	Got a raise	Permanent			Moderately high confidence	High significance	Very Positive	financial	Medium positive effect	0.0	0	2018-09-15	0		0	541755b4ef684bbf17bb4bb065a36c32	D	1			
388	12106516970366992370	Pay increase	Permanent			High confidence	Moderately high significance	Very Positive	financial	Small positive effect	0.0	0	2018-08-25	0		0	aaaa1da55ad64353854e2a2f586e7474	D	1			
389	12473598560100569113	2018 Promotion	Permanent			Highest confidence	Moderately high significance	Very Positive	financial	Medium positive effect	0.0	0	2018-08-26	0		0	115bb67fc5993ecf1015c212f585a0b5	D	1			
428	12473598560100569113	Bears Wild Card Game	Permanent			Highest confidence	Moderate significance	Somewhat Negative	societal	No effect	0.0	0	2019-01-06	0		0	115bb67fc5993ecf1015c212f585a0b5	D	-1			
569	12435969654477255323	Daughter moved out	Unsure			Highest confidence	High significance	Somewhat Negative	personal	No effect	0.0	0	2019-04-08	0		0	48bdae1dc091bf658b69c99236b74b80	G	-1			
